Generation number, Milliseconds from start, Fitness
0,14817614,245503
1,14854105,388874
2,14884983,460494
3,14918828,475482
4,14956936,480044
5,14994838,489408
6,15036882,489408
7,15077092,494317
8,15120655,497941
9,15167987,508539
10,15213803,508539
11,15262273,508539
12,15309731,516496
13,15360546,518369
14,15407484,518369
15,15456583,522881
16,15506719,522881
17,15558452,523799
18,15606362,539952
19,15658808,539952
20,15709791,539952
21,15763567,542794
22,15815568,545671
23,15868982,546753
24,15921010,546753
25,15976057,546753
26,16031616,551313
27,16086864,551313
28,16144554,551313
29,16201421,552832
30,16259276,552832
31,16318427,555186
32,16378745,558870
33,16437750,563474
34,16500128,563474
35,16560567,563474
36,16625086,565048
37,16691184,565048
38,16754121,565048
39,16819069,565048
40,16886020,565048
41,16951966,565048
42,17018198,565048
43,17087412,565726
44,17155649,567368
45,17225369,567368
46,17294623,567682
47,17363612,567682
48,17433655,576509
49,17502329,576509
50,17572965,576509
51,17646686,576509
52,17718268,576509
53,17789726,576509
54,17861692,576509
55,17932245,576509
56,18003048,578404
57,18072349,578404
58,18148272,578404
59,18223464,578404
60,18298902,578404
61,18376137,578404
62,18452312,578404
63,18527613,578404
