Generation number, Milliseconds from start, Fitness
0,29675623,244506
1,29675687,244506
2,29678628,390611
3,29685775,390611
4,29690615,418309
5,29695513,446701
6,29701649,461314
7,29707134,461314
8,29713709,461314
9,29720304,475014
10,29726985,483236
11,29734008,490724
12,29741347,490724
13,29755812,490724
14,29763451,490724
15,29771467,490724
16,29779038,490724
17,29787406,494859
18,29796219,494859
19,29804691,494859
20,29813178,494859
21,29821859,496887
22,29830842,496887
23,29840645,496887
24,29852713,497135
25,29862327,497135
26,29871397,497135
27,29881481,497135
28,29890671,502477
29,29899819,502477
30,29909081,502477
31,29919240,502477
32,29929783,506314
33,29938872,507471
34,29950703,507471
35,29959788,512038
36,29969814,512038
37,29979216,512038
38,29989586,512038
39,29998856,512038
40,30008797,512038
41,30018304,512038
42,30028916,512038
43,30038038,512038
44,30050938,512038
45,30060725,512038
46,30069323,512038
47,30080911,512038
48,30091097,512038
49,30101040,512038
50,30111046,512038
51,30121166,512089
52,30131075,512089
53,30141562,514959
54,30154037,514959
55,30163874,517203
56,30174804,517203
57,30185521,517203
58,30194690,517203
59,30205421,517203
60,30216152,517203
61,30226404,517203
62,30236285,517203
63,30249219,517203
64,30258643,519392
65,30268373,519392
66,30278234,519392
67,30288689,519392
68,30299632,520771
69,30309506,520771
70,30320386,542028
71,30330423,542028
72,30341223,542028
73,30354353,542028
74,30365201,542028
75,30376268,542028
76,30386095,542028
77,30396800,542028
78,30407355,542028
79,30418907,542028
80,30428352,542028
81,30438566,542028
82,30452494,542028
83,30462837,542028
84,30473282,542028
85,30484100,542028
86,30493475,542028
87,30506008,542028
88,30516380,542028
89,30527218,542028
90,30538028,542028
91,30551524,544890
92,30561866,544890
93,30572890,544890
94,30583484,545430
95,30594885,545547
96,30605886,545547
97,30617616,545547
98,30629017,546640
99,30639875,546640
100,30653880,546640
101,30664812,546640
102,30677194,546722
103,30687752,550888
104,30698854,550888
105,30711148,550888
106,30723211,550888
107,30733925,550888
108,30748691,550888
109,30761263,550888
110,30773034,550888
111,30784988,550888
112,30796696,551473
113,30808977,551473
114,30822071,554407
115,30834009,554407
116,30850778,554407
117,30861782,554407
118,30874701,554407
119,30888344,554407
120,30901645,554407
121,30913947,554407
122,30926779,554407
123,30938885,554407
124,30955297,554407
125,30968481,554407
126,30981880,554407
127,30994865,556147
128,31009448,556147
129,31023078,556147
130,31035404,556147
131,31051933,556147
132,31064614,556147
133,31078359,556147
134,31092057,556147
135,31104543,556147
136,31118584,556147
137,31132765,556147
138,31145925,556147
139,31162238,556147
140,31175635,556147
141,31188718,556147
142,31202476,556147
143,31217251,556147
144,31231055,556147
145,31242702,556147
146,31259693,556147
147,31272678,556147
148,31286307,556147
149,31299767,556147
150,31313342,556147
151,31326739,556147
152,31342048,556147
153,31358043,556147
154,31371391,556147
155,31385158,556147
156,31398774,556147
157,31413611,556147
158,31426584,556147
159,31439501,556147
160,31455365,556147
161,31470139,556175
162,31484201,556175
163,31496075,556175
164,31510036,556175
165,31524819,556175
166,31538331,556175
167,31555038,556175
168,31568119,556175
169,31580614,556175
170,31593685,556175
171,31610284,556175
172,31622700,556175
173,31636801,556175
174,31653007,556175
175,31666042,556175
176,31680535,556175
177,31694770,556175
178,31707657,556188
179,31722537,556188
180,31737436,556188
181,31753218,556188
182,31767196,556188
183,31781261,556188
184,31795656,556188
185,31808947,556188
186,31823406,556188
187,31837974,556188
188,31854780,556188
189,31869414,556188
190,31883790,556614
191,31897692,556614
192,31911536,556614
193,31924903,556614
194,31938994,557023
195,31955127,557023
196,31970288,557023
197,31984039,557023
198,31997653,557023
199,32011700,557023
200,32026077,557023
201,32039784,557023
202,32056679,557023
203,32070798,557023
204,32084343,557023
205,32097714,557023
206,32111173,557023
207,32126070,557023
208,32140674,557023
209,32157170,557023
210,32170927,557023
211,32185229,557023
212,32199546,557023
213,32212237,557023
214,32226906,557023
215,32240126,557023
216,32258278,557023
217,32272585,557023
218,32286045,557023
219,32299228,557023
220,32313198,557515
221,32326395,557515
222,32341395,557515
223,32357486,557515
224,32372177,557515
225,32386353,557515
226,32398822,557515
227,32413261,557515
228,32427043,557515
229,32442363,557515
230,32459196,557515
231,32473300,557515
232,32487648,557515
233,32500634,557515
234,32515106,557515
235,32529757,558055
236,32543996,558055
237,32561486,558055
238,32575664,558154
239,32590329,558154
240,32604020,558154
241,32618476,558154
242,32632427,558154
243,32646738,558154
244,32664062,558154
245,32676761,558154
246,32691395,558154
247,32703139,558154
248,32718769,558154
249,32732935,558154
250,32747275,558154
251,32763033,558154
252,32777837,558262
253,32791878,558262
254,32805763,558262
255,32820227,558262
256,32834614,558262
257,32848857,558262
258,32864840,558262
259,32878535,558262
260,32890640,558262
261,32905285,558262
262,32920488,558262
263,32934454,558262
264,32948249,558262
265,32963934,558262
266,32977130,558262
267,32992892,558262
268,33007052,558262
269,33020993,558262
270,33034538,558262
271,33048784,558440
272,33065499,558440
273,33079896,558440
274,33092452,558440
275,33106685,558440
276,33121505,558440
277,33134533,558440
278,33149194,558440
279,33165544,558440
280,33180470,558440
281,33195547,558440
282,33208704,558440
283,33220934,558718
284,33235418,558718
285,33248210,558718
286,33265518,558718
287,33279805,558718
288,33294325,559064
