Generation number, Milliseconds from start, Fitness
0,901663,423471
1,901749,423471
2,901811,423471
3,901880,423471
4,901939,423471
5,901991,423471
6,902042,429958
7,902093,429958
8,902142,429958
9,902202,429958
10,902250,429958
11,902306,436912
12,902353,436912
13,902409,436912
14,902472,436912
15,902522,436912
16,902580,436912
17,902628,440959
18,902686,440959
19,902734,441477
20,902783,441477
21,902834,441477
22,902894,441477
23,902944,441477
24,902989,441477
25,903037,445083
26,903083,445083
27,903143,445083
28,903189,445083
29,903237,445083
30,903286,453226
31,903336,462161
32,903381,462161
33,903430,462161
34,903475,462161
35,903522,462161
36,903569,462161
37,903617,462161
38,903668,462161
39,903714,462161
40,903764,462161
41,903812,462161
42,903872,462161
43,903928,462161
44,903976,462161
45,904023,462161
46,904073,462161
47,904126,462161
48,904175,462161
49,904220,462161
50,904276,462161
51,904321,462161
52,904369,462161
53,904416,462161
54,904462,462161
55,904521,462161
56,904567,462161
57,904612,462161
58,904664,462161
59,904711,464780
60,904765,464780
61,904813,464780
62,904859,464780
63,904907,464780
64,904956,464780
65,905016,464780
66,905070,464780
67,905124,464780
68,905172,464780
69,905220,465665
70,905272,465665
71,905320,468387
72,905371,468387
73,905417,468387
74,905465,468387
75,905513,468387
76,905566,468387
77,905621,468387
78,905671,470351
79,905717,470351
80,905768,470351
81,905813,470351
82,905865,470351
83,905911,470351
84,905956,470351
85,906002,474958
86,906047,474958
87,906094,474958
88,906138,474958
89,906183,474958
90,906240,474958
91,906288,474958
92,906340,474958
93,906389,474958
94,906439,474958
95,906486,474958
96,906533,474958
97,906579,474958
98,906625,474958
99,906676,474958
100,906722,474958
101,906767,474958
102,906817,474958
103,906873,474958
104,906917,474958
105,906964,474958
106,907014,474958
107,907065,476921
108,907118,476921
109,907166,476921
110,907215,476921
111,907269,476921
112,907316,476921
113,907362,476921
114,907414,476921
115,907462,476921
116,907510,476921
117,907557,476921
118,907604,478940
119,907650,478940
120,907697,478940
121,907740,478940
122,907789,478940
123,907835,478940
124,907882,478940
125,907933,478940
126,907981,478940
127,908027,478940
128,908074,478940
129,908127,478940
130,908176,478940
131,908221,478940
132,908268,478940
133,908315,478940
134,908360,478940
135,908407,478940
136,908452,478940
137,908496,478940
138,908540,478940
139,908587,478940
140,908638,478940
141,908683,478940
142,908730,478940
143,908776,478940
144,908826,478940
145,908870,478940
146,908913,486762
147,908955,486762
148,909001,486762
149,909052,486762
150,909098,486762
151,909140,486762
152,909186,486762
153,909231,486762
154,909282,486762
155,909326,486762
156,909375,486762
157,909418,486762
158,909497,486762
159,909641,486762
160,909691,486762
161,909738,486762
162,909854,486762
163,909902,486762
164,909946,486762
165,909994,486762
166,910037,486762
167,910082,486762
168,910124,486762
169,910169,486762
170,910214,486762
171,910257,486762
172,910310,487596
173,910355,487596
174,910402,487596
175,910446,487596
176,910492,487596
177,910570,487596
178,910615,487596
179,910674,487596
180,910719,487596
181,910762,487596
182,910829,487596
183,910871,487596
184,910935,487596
185,910983,487596
186,911031,487596
187,911094,487596
188,911136,487596
189,911188,487596
190,911233,487596
191,911288,487596
192,911344,487596
193,911393,487596
194,911437,487596
195,911484,487596
196,911538,487596
197,911584,488647
198,911627,488647
199,911672,488647
200,911717,488647
201,911801,488647
202,911844,488647
203,911892,488647
204,911945,488647
205,912002,488647
206,912050,488647
207,912123,488647
208,912166,492273
209,912213,492273
210,912275,492273
211,912335,492273
212,912383,492273
213,912437,492273
214,912501,492273
215,912548,492273
216,912598,492273
217,912669,492273
218,912722,492273
219,912771,492273
220,912829,492273
221,912873,492273
222,912920,492273
223,912978,492273
224,913028,492273
225,913071,492273
226,913121,492273
227,913175,492273
228,913249,492273
229,913294,492273
230,913360,493639
231,913407,493639
232,913467,493639
233,913513,493639
234,913574,493639
235,913618,493639
236,913663,493639
237,913725,493639
238,913771,493639
239,913842,493639
240,913886,493639
241,913974,493639
242,914025,493639
243,914096,493639
244,914143,497948
245,914203,497948
246,914250,497948
247,914310,497948
248,914364,497948
249,914413,497948
250,914480,497948
251,914525,497948
252,914567,497948
253,914618,497948
254,914676,497948
255,914730,497948
256,914790,497948
257,914867,497948
258,914917,497948
259,914961,497948
260,915027,497948
261,915072,497948
262,915124,497948
263,915172,497948
264,915230,497948
265,915273,497948
266,915319,497948
267,915362,497948
268,915406,500017
269,915472,500017
270,915516,500017
271,915560,500017
272,915607,500017
273,915650,500017
274,915707,500017
275,915765,500017
276,915811,500017
277,915853,500017
278,915903,500017
279,915957,500017
280,916003,500017
281,916048,500017
282,916103,500017
283,916147,500017
284,916198,500017
285,916240,500017
286,916285,500017
287,916328,500017
288,916374,500017
289,916448,500017
290,916492,500017
291,916538,500017
292,916584,500017
293,916630,500017
294,916684,500017
295,916738,500017
296,916779,500017
297,916830,500017
298,916889,500017
299,916936,500017
300,916978,500017
301,917059,500017
302,917112,500017
303,917179,500017
304,917232,500017
305,917296,500017
306,917345,500017
307,917408,500017
308,917456,500017
309,917525,500017
310,917567,500017
311,917612,500017
312,917656,500017
313,917711,500017
314,917754,500017
315,917827,500017
316,917897,500017
317,917944,500017
318,918003,500017
319,918055,500017
320,918103,500017
321,918154,500017
322,918229,500017
323,918279,500017
324,918325,500017
325,918379,500017
326,918430,500017
327,918480,500017
328,918555,500017
329,918601,500017
330,918646,500728
331,918697,500728
332,918751,500728
333,918830,500728
334,918877,500728
335,918931,500728
336,918978,500728
337,919035,501288
338,919092,501288
339,919141,501288
340,919188,501288
341,919248,501288
342,919293,501288
343,919335,501288
344,919380,501437
345,919434,501437
346,919478,501437
347,919523,501437
348,919567,501437
349,919612,501594
350,919683,501594
351,919729,501594
352,919774,501594
353,919821,501594
354,919868,501594
355,919924,501594
356,919970,501594
357,920017,501594
358,920061,501594
359,920151,501594
360,920195,501594
361,920243,501594
362,920293,501594
363,920338,501594
364,920385,501594
365,920437,501594
366,920490,501764
367,920535,501764
368,920581,501764
369,920629,501764
370,920676,501764
371,920751,501764
372,920796,501764
373,920842,501764
374,920914,501764
375,920960,501764
376,921012,501764
377,921089,501764
378,921145,501764
379,921201,501764
380,921266,501764
381,921310,501764
382,921370,501764
383,921427,501764
384,921476,501764
385,921524,501764
386,921585,501764
387,921630,501764
388,921714,501764
389,921757,501764
390,921835,501764
391,921880,501764
392,921939,501764
393,921983,502889
394,922032,502889
395,922088,502889
396,922135,502889
397,922185,502889
398,922231,502889
399,922283,502889
400,922326,502889
401,922372,502889
402,922415,502889
403,922469,502889
404,922548,502889
405,922592,502889
406,922654,502889
407,922714,502889
408,922759,502889
409,922803,502889
410,922860,502889
411,922903,502889
412,922949,502889
413,922996,502889
414,923043,502889
415,923111,502889
416,923156,502889
417,923201,502889
418,923246,502889
419,923289,502889
420,923340,503050
421,923389,503925
422,923433,503925
423,923477,503925
424,923525,503925
425,923609,503925
426,923652,503925
427,923696,503925
428,923748,503925
429,923800,503925
430,923845,503925
431,923888,503925
432,923935,503925
433,923986,503925
434,924046,503925
435,924089,503925
436,924158,503925
437,924205,503925
438,924252,503925
439,924317,503925
440,924376,503925
441,924427,503925
442,924495,503925
443,924542,503925
444,924590,503925
445,924635,503925
446,924689,503925
447,924776,503925
448,924848,503925
449,924900,503925
450,924955,503925
451,924995,503925
452,925039,503925
453,925081,503925
454,925135,504323
455,925185,504323
456,925228,504323
457,925272,504323
458,925316,504323
459,925372,504323
460,925420,504323
461,925463,504323
462,925506,504323
463,925552,504323
464,925625,504323
465,925665,504323
466,925709,504323
467,925753,504323
468,925799,504323
469,925856,504323
470,925903,504323
471,925947,504323
472,925994,504323
473,926060,504323
474,926118,504323
475,926167,504323
476,926212,504323
477,926261,504323
478,926305,504323
479,926371,504323
480,926416,504323
481,926462,504323
482,926512,504323
483,926557,504323
484,926613,504323
485,926659,504323
486,926722,504323
487,926771,504323
488,926819,504323
489,926878,504323
490,926926,504323
491,926976,504323
492,927026,504323
493,927071,504323
494,927138,504323
495,927186,504323
496,927233,504323
497,927299,504323
498,927345,504323
499,927389,504323
500,927431,504323
501,927487,504323
502,927529,504323
503,927575,504323
504,927620,504492
505,927671,504704
506,927736,504704
507,927783,504704
508,927826,504704
509,927869,504704
510,927911,504704
511,927967,504704
512,928018,504704
513,928059,504704
514,928110,504704
515,928168,504704
516,928219,504704
517,928274,504704
518,928323,504704
519,928368,504704
520,928415,504704
521,928470,504713
522,928532,504713
523,928577,504713
524,928645,504713
525,928690,504713
526,928750,504713
527,928796,504713
528,928842,504713
529,928914,504713
530,928958,504713
531,929027,504713
532,929070,504713
533,929114,504713
534,929157,504713
535,929214,504713
536,929269,504713
537,929316,504713
538,929373,504713
539,929429,505414
540,929474,505414
541,929515,505414
542,929561,505414
543,929617,505414
544,929675,505414
545,929720,505414
546,929764,505414
547,929834,505414
548,929881,505414
549,929956,505414
550,930007,505414
551,930069,505959
552,930116,505959
553,930175,505959
554,930218,505959
555,930266,505959
556,930318,505959
557,930360,505959
558,930409,505959
559,930467,505959
560,930511,505959
561,930561,505959
562,930618,505959
563,930666,505959
564,930712,505959
565,930778,505959
566,930822,505959
567,930871,505959
568,930916,505959
569,930969,505959
570,931020,505959
571,931063,505959
572,931112,505959
573,931188,505959
574,931236,505959
575,931283,505959
576,931334,505959
577,931379,505959
578,931424,505959
579,931467,505959
580,931523,505959
581,931576,505959
582,931623,505959
583,931668,505959
584,931711,505959
585,931763,505959
586,931817,505959
587,931860,505959
588,931903,505959
589,931949,505959
590,932001,505959
591,932043,505959
592,932088,505959
593,932131,506490
594,932178,506490
595,932247,506490
596,932295,506490
597,932339,506490
598,932388,506490
599,932433,506490
600,932491,506490
601,932535,506490
602,932580,506490
603,932634,506490
604,932678,506490
605,932732,506490
606,932778,506490
607,932824,506490
608,932874,506490
609,932932,506490
610,932990,506490
611,933035,506490
612,933095,506490
613,933139,506490
614,933189,506490
615,933234,506490
616,933288,506490
617,933362,506490
618,933408,506490
619,933450,506490
620,933496,506490
621,933548,506490
622,933607,506490
623,933654,506490
624,933699,506490
625,933759,506490
626,933803,506490
627,933861,506490
628,933922,506490
629,933970,506490
630,934017,506490
631,934075,506490
632,934120,506490
633,934176,506490
634,934222,506490
635,934292,506490
636,934339,506490
637,934386,506490
638,934459,506490
639,934504,506490
640,934550,506490
641,934595,506490
642,934648,506490
643,934706,506490
644,934755,506490
645,934802,506490
646,934850,506490
647,934901,506490
648,934945,506490
649,934988,506490
650,935030,507156
651,935075,507156
652,935142,507156
653,935185,507156
654,935228,507156
655,935273,507156
656,935324,507156
657,935374,507156
658,935426,507156
659,935470,507156
660,935516,507156
661,935569,507156
662,935629,507156
663,935675,507156
664,935719,507156
665,935790,507156
666,935838,507156
667,935905,507156
668,935949,507156
669,936022,507156
670,936087,507156
671,936138,507156
672,936203,507156
673,936253,507156
674,936311,507156
675,936362,507156
676,936439,507156
677,936482,507156
678,936536,507156
679,936582,507156
680,936629,507156
681,936693,507156
682,936735,507156
683,936778,507156
684,936820,507156
685,936878,507156
686,936929,507156
687,936973,507156
688,937025,507156
689,937085,507156
690,937133,507156
691,937178,507156
692,937271,507156
693,937324,507156
694,937393,507156
695,937438,507156
696,937498,507156
697,937548,507156
698,937621,507156
699,937668,507156
700,937746,507156
701,937790,507156
702,937862,507156
703,937912,507156
704,937958,507156
705,938032,507156
706,938074,507156
707,938120,507156
708,938164,507156
709,938218,507156
710,938260,507156
711,938305,507343
712,938357,507343
713,938401,507343
714,938465,507343
715,938508,507343
716,938555,507343
717,938600,507343
718,938664,507343
719,938717,507343
720,938763,507343
721,938816,507343
722,938881,507343
723,938924,507343
724,938964,507343
725,939015,507343
726,939070,507343
727,939143,507343
728,939189,507343
729,939235,507343
730,939312,507343
731,939359,507343
732,939417,507343
733,939462,507343
734,939529,507343
735,939573,507343
736,939634,507343
737,939680,507343
738,939730,507343
739,939794,507343
740,939837,507343
741,939881,507343
742,939925,507343
743,939979,507343
744,940024,507343
745,940070,507343
746,940113,507343
747,940158,507343
748,940236,507343
749,940284,507343
750,940326,507343
751,940374,507343
752,940418,507343
753,940473,507343
754,940536,507343
755,940600,507343
756,940656,507343
757,940740,507343
758,940786,507343
759,940843,507343
760,940889,507343
761,940934,507343
762,941005,507343
763,941055,507343
764,941115,507343
765,941161,507343
766,941215,507343
767,941260,507343
768,941305,507343
769,941349,507343
770,941405,507343
771,941447,507343
772,941493,507343
773,941537,507343
774,941589,507343
775,941652,507343
776,941698,507343
777,941743,507343
778,941794,507343
779,941843,507343
780,941896,507343
781,941977,507343
782,942023,507343
783,942073,507545
784,942136,507545
785,942183,507545
786,942229,507545
787,942299,507554
788,942350,507554
789,942409,507554
790,942456,507554
791,942526,507554
792,942575,507554
793,942634,507554
794,942682,507554
795,942744,507554
796,942810,507554
797,942883,507554
798,942928,507554
799,942990,507554
800,943036,507554
801,943097,507554
802,943142,507554
803,943215,507554
804,943263,507554
805,943332,507554
806,943381,507554
807,943442,507554
808,943489,507554
809,943557,507554
810,943602,507554
811,943667,507554
812,943712,507554
813,943774,507554
814,943814,507554
815,943858,507554
816,943908,507554
817,943963,507554
818,944029,507554
819,944076,507554
820,944121,507554
821,944169,507554
822,944227,507554
823,944275,507554
824,944319,507554
825,944365,507554
826,944411,507554
827,944477,507554
828,944524,507554
829,944571,507554
830,944624,507554
831,944674,507554
832,944731,507554
833,944800,507554
834,944850,507554
835,944896,507554
836,944950,507554
837,945009,507554
838,945079,507554
839,945126,507554
840,945187,507554
841,945240,507554
842,945311,507554
843,945359,507639
844,945434,507639
845,945481,507639
846,945561,507639
847,945615,507639
848,945665,507639
849,945729,507640
850,945796,507640
851,945864,507640
852,945939,507640
853,945990,507640
854,946040,507640
855,946116,507640
856,946165,507640
857,946239,507640
858,946289,507640
859,946356,507640
860,946404,507640
861,946476,507640
862,946524,507640
863,946586,507640
864,946637,507640
865,946712,507640
866,946760,507640
867,946843,507640
868,946890,507640
869,946954,507640
870,947005,507640
871,947073,507640
872,947123,507640
873,947179,507640
874,947240,507640
875,947327,507640
876,947378,507640
877,947457,507640
878,947509,507640
879,947557,507640
880,947640,507640
881,947686,507640
882,947730,507640
883,947776,507640
884,947822,507640
885,947872,507640
886,947930,507640
887,947974,507640
888,948025,507640
889,948091,507640
890,948141,507640
891,948191,507640
892,948249,507640
893,948297,507640
894,948342,507640
895,948389,507640
896,948443,507640
897,948489,507640
898,948535,507640
899,948579,507640
900,948627,507640
901,948692,507640
902,948736,507640
903,948780,507640
904,948834,507640
905,948915,507640
906,948962,507640
907,949011,507640
908,949066,507640
909,949114,507640
910,949161,507640
911,949206,507640
912,949279,507640
913,949327,507640
914,949375,507640
915,949420,507640
916,949473,507640
917,949528,507640
918,949582,507640
919,949629,507640
920,949687,507640
921,949743,507640
922,949794,507640
923,949846,507640
924,949906,507640
925,949955,507640
926,949997,507640
927,950043,507640
928,950087,507640
929,950160,507640
