Generation number, Milliseconds from start, Fitness
0,0,429407
1,17,429407
2,38,429407
3,58,434998
4,76,434998
5,91,434998
6,106,434998
7,121,434998
8,137,434998
9,151,434998
10,169,434998
11,183,434998
12,198,434998
13,213,434998
14,227,434998
15,242,434998
16,258,434998
17,276,434998
18,291,434998
19,306,434998
20,321,435266
21,336,435266
22,352,435266
23,365,435266
24,380,435266
25,394,435266
26,409,435266
27,423,435266
28,436,435266
29,451,435266
30,464,435266
31,478,435266
32,490,435266
33,506,435266
34,519,435266
35,533,435266
36,551,435266
37,569,435266
38,582,435266
39,597,435266
40,611,435266
41,625,435266
42,638,435266
43,658,435266
44,673,435266
45,688,435266
46,702,435266
47,716,442358
48,729,443812
49,742,443812
50,756,443812
51,769,443812
52,783,443812
53,796,443812
54,811,443812
55,826,447533
56,839,447533
57,852,447533
58,867,447533
59,880,447533
60,894,447533
61,909,447533
62,922,447533
63,936,447533
64,951,447533
65,966,447533
66,979,447974
67,992,447974
68,1006,447974
69,1020,447974
70,1043,447974
71,1055,447974
72,1070,447974
73,1086,447974
74,1102,447974
75,1120,447974
76,1134,453517
77,1152,453517
78,1165,453517
79,1180,453517
