Generation number, Milliseconds from start, Fitness
0,8210403,133754
1,8232998,221331
2,8255361,303845
3,8279667,321391
4,8305667,323671
5,8335349,324704
6,8370029,324704
7,8409176,324704
8,8449293,324704
9,8494786,324704
10,8540866,324704
11,8586973,324704
12,8631879,325010
13,8678916,325601
14,8725900,327389
15,8770470,327389
16,8817862,327389
17,8864620,328345
18,8910143,328345
19,8955960,328651
20,9002441,330523
21,9050255,330523
22,9096815,330523
23,9143315,330523
24,9189640,330523
25,9236395,330523
26,9282939,330523
27,9329871,330523
28,9375972,330523
29,9422191,330523
30,9469057,330523
31,9513819,330523
32,9560194,330523
33,9605060,330523
34,9649720,330523
35,9693810,331316
36,9741396,331316
37,9787841,331316
38,9834724,331316
39,9882215,331585
40,9927915,331585
41,9975428,331585
42,10024464,331585
43,10072471,331585
44,10118753,331585
45,10164647,331585
46,10207935,331585
47,10251285,332463
48,10298856,332463
49,10345301,332463
50,10390465,332463
51,10435325,332463
52,10481016,332463
53,10527754,332891
54,10574727,332955
55,10621144,333775
56,10666299,333775
57,10713853,333775
58,10760304,333775
59,10806576,333775
60,10854875,333775
61,10901832,333775
62,10949163,333775
63,10993850,334181
