Generation number, Milliseconds from start, Fitness
0,5480697,133590
1,5480748,133590
2,5482802,223278
3,5487583,223278
4,5490798,260322
5,5494681,290339
6,5499639,310110
7,5504081,319657
8,5508575,320442
9,5513574,320758
10,5518543,320758
11,5524204,322161
12,5529723,322161
13,5535983,322161
14,5543814,322218
15,5550315,324015
16,5557169,324015
17,5564840,324015
18,5572684,324015
19,5580653,324015
20,5589942,324015
21,5598766,324015
22,5608040,324738
23,5616654,324738
24,5626540,324738
25,5636570,324862
26,5645742,324878
27,5655563,324878
28,5665303,326954
29,5674546,326954
30,5684682,326954
31,5695059,326954
32,5703770,326954
33,5713300,326954
34,5723101,326954
35,5732894,326954
36,5742810,326954
37,5752838,326954
38,5762794,326954
39,5773147,327164
40,5782708,327164
41,5792272,327164
42,5801898,327263
43,5812149,327263
44,5821204,327263
45,5831445,327263
46,5840613,327263
47,5850621,327263
48,5859972,327718
49,5869829,327718
50,5879843,327718
51,5888438,327718
52,5896871,327718
53,5908111,327718
54,5916598,327718
55,5925962,327854
56,5936947,327854
57,5946186,327854
58,5955185,327854
59,5964885,327870
60,5976182,327870
61,5984598,328100
62,5993799,328407
63,6003272,328407
64,6014148,328407
65,6023213,328407
66,6032229,328407
67,6042834,328407
68,6052402,328407
69,6061836,328585
70,6071893,328585
71,6081929,328585
72,6091287,329991
73,6100872,329991
74,6111072,329991
75,6120160,329991
76,6130503,329991
77,6139822,329991
78,6150112,329991
79,6159483,329991
80,6169133,329991
81,6178737,329991
82,6188898,329991
83,6198798,329991
84,6207776,329991
85,6217592,329991
86,6228215,329991
87,6238367,329991
88,6247095,329991
89,6257677,329991
90,6267646,330360
91,6276728,330360
92,6286346,330360
93,6297048,330360
94,6306886,330360
95,6316825,330360
96,6325981,330360
97,6335903,330684
98,6345961,330684
99,6354615,330684
100,6365359,330684
101,6375133,330684
102,6384499,330684
103,6393360,330684
104,6404162,330684
105,6413877,330684
106,6423130,330684
107,6433553,330684
108,6442562,330684
109,6451695,330684
110,6461683,330838
111,6470881,330838
112,6480986,330838
113,6490457,330838
114,6500528,331018
115,6509312,331018
116,6518592,331018
117,6527960,331018
118,6538918,331079
119,6548188,331079
120,6556798,331079
121,6566736,331079
122,6576929,331303
123,6586202,331303
124,6595734,331303
125,6605368,331303
126,6615305,331303
127,6624335,331303
128,6634493,331303
129,6644397,331303
130,6653442,331303
131,6662380,331303
132,6671831,331303
133,6682642,331303
134,6691034,331303
135,6700003,331303
136,6710822,331303
137,6720086,331303
138,6729230,331303
139,6739051,331303
140,6748598,331303
141,6758010,331330
142,6767038,331330
143,6777441,331330
144,6786202,331330
145,6795447,331330
146,6805235,331330
147,6814790,331330
148,6824113,331330
149,6832621,331330
150,6842748,331330
151,6852674,331330
152,6862167,331330
153,6871512,331330
154,6882304,331330
155,6891722,331850
156,6900332,331850
157,6909384,331850
158,6918944,331850
159,6928358,331850
160,6937066,331850
161,6946642,331850
162,6957031,331850
163,6965825,331850
164,6975713,331850
165,6984374,331850
166,6994173,331850
167,7003044,331850
168,7012325,331850
169,7022797,332386
170,7032032,332386
171,7041436,332386
172,7051029,332386
173,7061436,332386
174,7069889,332386
175,7079238,332386
176,7089496,332386
177,7098829,332386
178,7107746,332386
179,7117799,332386
180,7127537,332386
181,7136155,333089
182,7146014,333089
183,7155061,333089
184,7164527,333089
185,7174486,333089
186,7183271,333089
187,7193758,333089
188,7203012,333089
189,7211868,333089
190,7220807,333089
191,7231205,333089
192,7240376,333089
193,7249958,333089
194,7258553,333089
195,7269506,333089
196,7278352,333089
197,7287567,333089
198,7298112,333089
199,7306706,333089
200,7316165,333089
201,7325662,333089
202,7334896,333089
203,7344425,333484
204,7354156,333484
205,7363744,333484
206,7373572,333484
207,7382840,333484
208,7392201,333484
209,7403272,333484
210,7412014,333543
211,7421208,333543
212,7430556,333543
213,7439915,333543
214,7449144,333543
215,7458086,333543
216,7467247,333543
217,7478005,333543
218,7487259,333543
219,7496754,333543
220,7506527,333543
221,7515159,333543
222,7524480,333637
223,7533524,334053
224,7544654,334053
225,7553170,334053
226,7562857,334053
227,7573422,334053
228,7582324,334053
229,7591608,334053
230,7600432,334053
231,7610583,334238
232,7620274,334238
233,7629679,334238
234,7638441,334238
235,7649363,334238
236,7657675,334238
237,7667781,334238
238,7678595,334238
239,7687482,334617
240,7696841,334617
241,7706153,334617
242,7716226,334617
243,7725208,334617
244,7735086,334617
245,7744706,334617
246,7754416,334617
247,7764176,334617
248,7774066,334617
249,7783054,334762
250,7792611,334762
251,7801743,334764
252,7811546,334764
253,7821350,334764
254,7830815,334764
255,7840411,334764
256,7850179,334764
257,7859792,335334
258,7868672,335334
259,7878316,335334
260,7888751,335334
261,7897898,335425
262,7907289,335425
263,7917645,335425
264,7926529,335425
265,7936350,335425
266,7945377,335425
267,7956364,335425
268,7965745,335425
269,7974574,335425
270,7985152,335425
271,7994182,335425
272,8003844,335425
273,8013068,335425
274,8023314,335425
275,8032035,335425
276,8042497,335425
277,8051243,335425
278,8061405,335425
279,8070246,335425
280,8079696,335425
281,8090513,335425
282,8099384,335425
283,8108904,335425
284,8117994,335664
285,8128383,335664
286,8137872,335664
287,8147431,335664
288,8157513,335664
289,8166163,335664
290,8175820,335664
291,8185060,335664
292,8195475,335677
