Generation number, Milliseconds from start, Fitness
0,59138644,39261
1,59140787,55060
2,59143263,84683
3,59145811,98823
4,59148316,112481
5,59151264,120349
6,59154303,132999
7,59157821,154729
8,59161719,172308
9,59166425,172390
10,59171534,183515
11,59177436,185279
12,59184181,191502
13,59191265,191676
14,59199263,193220
15,59207563,200116
16,59215780,207899
17,59224585,207899
18,59234136,211345
19,59243248,211345
20,59252922,218004
21,59262887,218004
22,59272881,218004
23,59282984,218004
24,59293618,218391
25,59304281,221954
26,59314996,224860
27,59325328,224860
28,59336234,224860
29,59346991,224860
30,59357887,231246
31,59368255,231246
32,59379490,231246
33,59390597,231246
34,59401273,231246
35,59411847,236282
36,59423354,236282
37,59434541,236282
38,59445639,236733
39,59456823,237746
40,59468258,237746
41,59479445,237746
42,59490698,237746
43,59501527,239696
44,59513293,240088
45,59524322,242522
46,59535573,244093
47,59547252,244093
48,59558723,244093
49,59570702,244093
50,59582427,244093
51,59594021,244093
52,59606136,253250
53,59617912,253250
54,59630182,253250
55,59642542,253250
56,59654594,253250
57,59666745,253250
58,59678822,253250
59,59691291,253250
60,59702996,255692
61,59715434,255692
62,59728134,255692
63,59740425,255692
64,59752215,255692
65,59764245,256276
66,59776373,256276
67,59787794,256276
68,59799920,256276
69,59812299,258995
70,59824333,258995
71,59836947,258995
72,59849554,258995
73,59862071,258995
74,59874287,260923
75,59887163,262044
76,59899719,262044
77,59912696,262044
78,59924716,262044
79,59936991,262044
80,59949747,262044
81,59962169,263114
82,59974857,263114
83,59987036,263114
84,59999862,263114
85,60012107,267233
86,60024807,267233
87,60037597,267233
88,60050584,267233
89,60062897,267233
90,60075852,267233
91,60089499,267233
92,60101705,267233
93,60114847,268068
94,60127942,268255
95,60141006,268255
96,60154306,269157
97,60167081,269157
98,60180478,270102
99,60193474,270102
100,60206754,270102
101,60219777,271176
102,60232902,271176
103,60245843,271176
104,60258657,274506
105,60272290,274506
106,60285469,277207
107,60298564,277207
108,60311352,277207
109,60324518,277207
110,60337281,277207
111,60350988,277207
112,60363975,277207
113,60377545,277207
114,60390865,277207
115,60404014,277207
116,60416522,279007
117,60429233,279007
118,60442668,279007
119,60455871,279007
120,60469401,279007
121,60482328,279715
122,60495897,279715
123,60509311,279715
124,60523311,279715
125,60536493,279961
126,60550138,279961
127,60563434,279961
128,60576922,279961
129,60590322,279961
130,60603432,280242
131,60618269,280932
132,60632067,280932
133,60645550,280935
134,60659572,284743
135,60673518,284743
136,60687466,284743
137,60700741,284743
138,60714834,284743
139,60728656,284743
140,60742168,284743
141,60755348,286762
142,60768968,286762
143,60782958,286762
144,60797159,286762
145,60810449,286762
146,60824785,286762
147,60839019,286762
148,60852908,286762
149,60866839,286762
150,60880628,286762
151,60894553,286762
152,60908812,286762
153,60922575,286762
154,60937224,286762
155,60951635,286762
