Generation number, Milliseconds from start, Fitness
0,38841661,38250
1,38841671,38250
2,38841960,61700
3,38842648,61700
4,38843047,61700
5,38843441,69035
6,38843904,74788
7,38844430,74788
8,38844891,83751
9,38845389,103267
10,38845926,103267
11,38846482,103267
12,38847110,123495
13,38847860,123495
14,38848542,131574
15,38849185,131574
16,38849900,136834
17,38850672,144473
18,38851509,177071
19,38852390,177071
20,38853255,177071
21,38854206,177071
22,38855326,177071
23,38856431,177071
24,38857568,177071
25,38858732,179152
26,38860105,185972
27,38861479,185972
28,38862933,188271
29,38864320,188271
30,38865769,194077
31,38867539,194077
32,38869168,194077
33,38870851,194077
34,38872741,194077
35,38874562,194077
36,38876349,195740
37,38878176,195740
38,38880087,195740
39,38882006,195740
40,38883992,195740
41,38886045,195740
42,38888131,195740
43,38890252,199294
44,38892028,199294
45,38894207,205031
46,38896258,205031
47,38898567,205031
48,38900672,205031
49,38902880,205031
50,38904965,206529
51,38907053,211967
52,38909208,211967
53,38911432,211967
54,38913814,212247
55,38916109,212247
56,38918141,212247
57,38920529,219135
58,38922824,219135
59,38925210,219135
60,38927066,219135
61,38929281,219135
62,38931537,219135
63,38933774,219135
64,38936044,219135
65,38938307,219135
66,38940517,219135
67,38942686,219135
68,38945092,219135
69,38947554,219135
70,38949939,219135
71,38952325,219135
72,38954526,219135
73,38956617,219135
74,38958955,219135
75,38961170,219135
76,38963624,220929
77,38965694,220929
78,38968104,220929
79,38970337,220929
80,38972613,220929
81,38975126,220929
82,38977347,225558
83,38979717,225558
84,38981981,225558
85,38984190,225558
86,38986546,225558
87,38988822,225558
88,38991096,225558
89,38993707,225558
90,38996023,229259
91,38998156,229259
92,39000643,229259
93,39002819,229259
94,39005204,229259
95,39007516,229259
96,39009833,229259
97,39012046,229259
98,39014539,229259
99,39016937,229259
100,39019288,230033
101,39021697,230033
102,39024035,230033
103,39026686,230033
104,39028866,230033
105,39031565,230033
106,39033583,231321
107,39036213,231321
108,39038487,231374
109,39041045,231374
110,39043379,234187
111,39045723,234187
112,39048349,234187
113,39050980,234187
114,39053219,234187
115,39055546,234187
116,39057848,234187
117,39060393,234187
118,39062811,234187
119,39065163,234187
120,39067659,234187
121,39069892,234187
122,39072026,234904
123,39074417,234904
124,39076737,234904
125,39079049,234904
126,39081590,234938
127,39084439,234938
128,39086869,234938
129,39089330,234938
130,39091725,234938
131,39094172,234938
132,39096706,235140
133,39099167,235528
134,39101276,238648
135,39103965,238648
136,39106364,238648
137,39109085,238648
138,39111660,238648
139,39114349,238648
140,39116897,239325
141,39119467,239325
142,39121945,239325
143,39124454,239325
144,39126784,239325
145,39129387,239325
146,39131735,239325
147,39134355,239325
148,39136957,239325
149,39139443,239987
150,39142078,239987
151,39144535,239987
152,39147430,239987
153,39149946,239987
154,39152749,239987
155,39155236,239987
156,39157753,242445
157,39160282,242445
158,39162677,242445
159,39165304,242445
160,39168069,242445
161,39170715,242445
162,39173159,242445
163,39175529,242445
164,39178069,242844
165,39180535,242844
166,39182956,242844
167,39185565,242844
168,39187925,242844
169,39190394,242844
170,39192822,243865
171,39195619,243865
172,39198060,243865
173,39200565,243865
174,39203101,243865
175,39205680,243865
176,39207917,243865
177,39210453,243865
178,39213225,243865
179,39215822,243865
180,39218216,243865
181,39220801,245616
182,39223404,245616
183,39226040,245616
184,39228554,245616
185,39230887,245616
186,39233541,245616
187,39235835,245616
188,39238651,245616
189,39241192,245616
190,39243819,245616
191,39246339,245616
192,39248879,245616
193,39251289,245616
194,39253787,245754
195,39256295,245754
196,39258888,245754
197,39261570,245935
198,39263909,245935
199,39266522,245935
200,39269373,246505
201,39272011,246639
202,39274483,246639
203,39277105,246639
204,39279860,246639
205,39282330,246639
206,39284864,250866
207,39287562,250866
208,39290223,250866
209,39292756,250866
210,39295501,250866
211,39297905,250866
212,39300636,250866
213,39303561,250866
214,39306147,250866
215,39308795,250866
216,39311758,250866
217,39314478,250866
218,39316914,251533
219,39319669,251533
220,39322517,251533
221,39325149,251533
222,39328034,251533
223,39330428,251533
224,39333302,251533
225,39336076,251533
226,39338839,251533
227,39341438,252719
228,39344136,252719
229,39347194,252719
230,39349789,252719
231,39352627,253593
232,39355243,253593
233,39357958,253593
234,39360490,253593
235,39363370,253593
236,39366135,253593
237,39368933,253593
238,39372127,253593
239,39375290,253593
240,39377807,253593
241,39380662,253593
242,39383499,253593
