Generation number, Milliseconds from start, Fitness
0,60922,434341
1,61005,434341
2,61076,434341
3,61139,434341
4,61202,434341
5,61253,434341
6,61305,434341
7,61356,434341
8,61404,434341
9,61487,434341
10,61558,434341
11,61606,434341
12,61656,434341
13,61715,438388
14,61767,438388
15,61818,441309
16,61867,441309
17,61916,441309
18,61969,441309
19,62018,441309
20,62073,442871
21,62129,446387
22,62185,446387
23,62241,446387
24,62293,446387
25,62342,448193
26,62394,448193
27,62447,448193
28,62493,448193
29,62547,448193
30,62593,454816
31,62643,454816
32,62715,454816
33,62763,454816
34,62821,454816
35,62867,454816
36,62914,454816
37,62966,454816
38,63014,454816
39,63065,454816
40,63112,454816
41,63161,454816
42,63210,454816
43,63255,454816
44,63305,454816
45,63355,458255
46,63405,458255
47,63461,458255
48,63515,458255
49,63567,458255
50,63614,458255
51,63661,458255
52,63711,458255
53,63761,458255
54,63807,458255
55,63861,462713
56,63920,462713
57,64002,462713
58,64054,462713
59,64106,462713
60,64157,462713
61,64208,466892
62,64261,466892
63,64311,466892
64,64366,466892
65,64421,466892
66,64470,466892
67,64520,466892
68,64572,466892
69,64627,466892
70,64724,466892
71,64803,466892
72,64928,466892
73,64978,466892
74,65024,466892
75,65072,466892
76,65128,466892
77,65177,467391
78,65239,467391
79,65298,467391
80,65344,467391
81,65402,467391
82,65452,467391
83,65511,467391
84,65557,467391
85,65607,467391
86,65652,474945
87,65705,474945
88,65754,474945
89,65819,474945
90,65867,474945
91,65915,477158
92,65983,477158
93,66030,479290
94,66077,479290
95,66136,479290
96,66182,479354
97,66236,479354
98,66288,479354
99,66343,479354
100,66394,479354
101,66446,479354
102,66490,479354
103,66538,479354
104,66607,479354
105,66652,479354
106,66703,479354
107,66749,479354
108,66809,479354
109,66858,479354
110,66905,479354
111,66971,479354
112,67022,479354
113,67072,479354
114,67135,479354
115,67182,479354
116,67239,479354
117,67295,480785
118,67341,480785
119,67415,480785
120,67460,480785
121,67516,480785
122,67570,480785
123,67628,480785
124,67675,480785
125,67723,480785
126,67778,480785
127,67824,480785
128,67882,480785
129,67927,485849
130,67973,485849
131,68037,485849
132,68087,485849
133,68142,485849
134,68202,485849
135,68263,485849
136,68313,485849
137,68366,485849
138,68415,485849
139,68473,485849
140,68523,486864
141,68566,486864
142,68618,486864
143,68670,486864
144,68726,486864
145,68777,486864
146,68823,486864
147,68871,486864
148,68928,486864
149,68979,486864
150,69021,486864
151,69073,486864
152,69120,486864
153,69184,486864
154,69236,486864
155,69283,486864
156,69347,486864
157,69394,486864
158,69461,486864
159,69522,491430
160,69575,491430
161,69642,491430
162,69696,491430
163,69744,491430
164,69796,491430
165,69855,491430
166,69902,491430
167,69955,491430
168,70011,491430
169,70059,491430
170,70108,491430
171,70166,491430
172,70231,491430
173,70298,491430
174,70344,491430
175,70402,491430
176,70461,491430
177,70508,491430
178,70560,491430
179,70628,491430
180,70698,491430
181,70769,491430
182,70828,491430
183,70878,491430
184,70924,491430
185,70979,491430
186,71027,491430
187,71080,491430
188,71130,491430
189,71177,491430
190,71231,494718
191,71283,494718
192,71337,494718
193,71383,494718
194,71438,494718
195,71489,494718
196,71532,494718
197,71583,494718
198,71628,494718
199,71678,494718
200,71726,494718
201,71780,494718
202,71834,494718
203,71885,494718
204,71939,494718
205,71989,494718
206,72035,494718
207,72083,494718
208,72129,494718
209,72181,494718
210,72226,494718
211,72278,494718
212,72330,497418
213,72379,497418
214,72430,497418
215,72479,497418
216,72541,497418
217,72587,497418
218,72637,497418
219,72692,497418
220,72745,497418
221,72795,497418
222,72841,497418
223,72895,497418
224,72940,497418
225,72998,497418
226,73054,497418
227,73113,497418
228,73159,497418
229,73218,497418
230,73268,497418
231,73326,497418
232,73384,497418
233,73435,497418
234,73491,497418
235,73547,497418
236,73595,497418
237,73652,497418
238,73707,497418
239,73754,497418
240,73804,497418
241,73857,497418
242,73902,497418
243,73948,497418
244,73998,497418
245,74048,497418
246,74094,497418
247,74146,497418
248,74211,497418
249,74257,497418
250,74311,497418
251,74369,497418
252,74416,497418
253,74464,497418
254,74508,497418
255,74558,497418
256,74608,497418
257,74658,497418
258,74714,497418
259,74761,497418
260,74811,497418
261,74861,497418
262,74917,497418
263,74964,497418
264,75017,497418
265,75062,497418
266,75114,497418
267,75162,497418
268,75211,497418
269,75255,497418
270,75308,497418
271,75362,497418
272,75413,497418
273,75464,497418
274,75529,497418
275,75587,497418
276,75635,497418
277,75683,497418
278,75735,497418
279,75781,497418
280,75830,497418
281,75874,497418
282,75924,497418
283,75971,497418
284,76026,497418
285,76078,497418
286,76128,497418
287,76179,497418
288,76223,497418
289,76274,497418
290,76332,497418
291,76379,497418
292,76427,497418
293,76475,497418
294,76528,497418
295,76578,497418
296,76627,497418
297,76680,497418
298,76737,497418
299,76786,497418
300,76840,497418
301,76888,497418
302,76936,497418
303,76987,497418
304,77038,497418
305,77083,497418
306,77130,497418
307,77179,497418
308,77238,497418
309,77290,497418
310,77341,497418
311,77388,497418
312,77463,497418
313,77517,497418
314,77563,497705
315,77611,497705
316,77655,498741
317,77701,498741
318,77770,498741
319,77813,498741
320,77862,498741
321,77910,498741
322,77963,498741
323,78020,498741
324,78065,498741
325,78117,498741
326,78163,498741
327,78211,498741
328,78267,498743
329,78321,498743
330,78370,498743
331,78417,498743
332,78473,498743
333,78532,498743
334,78586,498743
335,78632,498743
336,78686,498743
337,78737,498743
338,78782,498743
339,78835,498743
340,78883,498743
341,78929,498743
342,78974,498743
343,79035,498743
344,79095,498743
345,79148,498743
346,79206,498743
347,79253,498743
348,79300,498743
349,79358,498743
350,79407,498743
351,79464,498743
352,79525,498743
353,79573,498743
354,79620,498743
355,79680,498743
356,79731,498743
357,79785,498743
358,79856,498743
359,79902,498743
360,79947,498743
361,79991,498743
362,80046,498743
363,80100,498743
364,80147,498743
365,80193,498743
366,80249,498743
367,80314,498743
368,80367,498743
369,80422,498743
370,80466,498743
371,80519,498743
372,80574,498743
373,80619,498743
374,80665,498743
375,80721,498743
376,80774,498743
377,80823,498743
378,80884,498743
379,80937,498743
380,81001,498743
381,81052,498743
382,81102,498795
383,81152,498795
384,81208,498795
385,81259,498795
386,81306,498795
387,81357,498795
388,81410,498795
389,81457,498795
390,81509,498795
391,81566,498795
392,81622,498795
393,81672,498795
394,81718,498795
395,81771,498795
396,81817,498795
397,81864,498795
398,81908,498795
399,81965,498795
400,82020,498795
401,82067,498795
402,82120,498795
403,82177,498795
404,82232,498795
405,82277,498795
406,82335,498795
407,82380,498795
408,82439,498795
409,82488,498795
410,82535,498795
411,82578,498795
412,82633,498795
413,82692,498795
414,82740,498795
415,82794,498795
416,82842,498795
417,82887,498795
418,82945,498795
419,82999,498795
420,83046,498795
421,83093,498795
422,83149,498795
423,83201,498795
424,83251,498795
425,83297,498795
426,83345,498795
427,83406,498795
428,83468,498795
429,83515,498795
430,83565,498795
431,83611,498795
432,83654,498795
433,83709,498795
434,83754,498795
435,83798,498795
436,83846,498795
437,83903,498795
438,83961,498795
439,84017,498795
440,84072,498795
441,84117,498795
442,84172,498795
443,84234,498795
444,84281,498795
445,84330,498795
446,84377,498795
447,84427,498795
448,84480,498795
449,84525,498795
450,84578,498795
451,84634,498795
452,84684,498795
453,84752,498795
454,84797,498795
455,84845,498795
456,84894,498795
457,84949,498795
458,84996,498795
459,85042,498795
460,85087,498795
461,85141,498795
462,85205,498795
463,85267,498795
464,85319,498795
465,85379,498795
466,85428,498795
467,85476,498795
468,85533,498795
469,85580,498795
470,85629,498795
471,85691,498795
472,85738,498795
473,85784,498795
474,85852,498795
475,85901,498795
476,85951,498795
477,86011,498795
478,86056,498795
479,86106,498795
480,86157,498795
481,86208,498795
482,86257,498795
483,86308,498795
484,86357,498795
485,86410,498795
486,86460,498795
487,86512,498795
488,86577,498795
489,86627,498795
490,86678,499140
491,86733,499140
492,86789,499140
493,86835,499140
494,86897,499140
495,86945,499140
496,86995,499140
497,87049,499140
498,87098,499140
499,87153,499140
500,87202,499140
501,87270,499140
502,87321,499140
503,87370,499140
504,87420,499140
505,87468,499140
506,87534,499140
507,87577,499140
508,87624,499140
509,87675,499140
510,87725,499140
511,87787,499140
512,87839,499140
513,87889,499140
514,87940,499140
515,87989,499140
516,88037,499140
517,88087,499140
518,88138,499140
519,88188,499140
520,88234,499140
521,88287,499140
522,88344,499140
523,88402,499140
524,88453,499140
525,88497,499140
526,88545,499140
527,88601,499140
528,88654,499140
529,88702,499140
530,88753,499140
531,88802,499140
532,88878,499140
533,88933,499140
534,88984,499140
535,89050,499140
536,89108,499140
537,89173,499140
538,89245,499140
539,89302,499140
540,89363,499140
541,89437,499140
542,89509,499140
543,89594,499140
544,89670,499140
545,89739,499140
546,89795,499140
547,89858,499140
548,89931,499140
549,89991,499140
550,90053,499140
551,90111,499140
552,90176,499140
553,90279,499140
554,90352,499140
555,90418,499140
556,90483,499140
557,90555,499140
558,90620,499140
559,90682,499140
560,90743,499140
561,90824,499140
562,90915,499140
563,90979,499140
564,91053,499140
565,91112,499140
566,91183,499140
567,91260,499140
568,91322,499140
569,91383,499140
570,91457,499140
571,91530,499140
572,91606,499140
573,91677,499140
574,91740,499140
575,91801,499140
576,91872,499140
577,91938,499140
578,92003,499140
579,92070,499140
580,92145,499140
581,92209,499140
582,92292,499140
583,92367,499140
584,92433,499140
585,92495,499140
586,92556,499140
587,92628,499140
588,92695,499140
589,92753,499140
590,92827,499140
591,92891,499140
592,92974,499140
593,93039,499140
594,93099,499140
595,93165,499140
596,93230,499140
597,93291,499140
598,93369,499140
599,93429,499140
600,93498,499140
601,93574,499140
602,93643,499140
603,93709,499140
604,93783,499140
605,93845,499140
606,93906,499140
607,93976,499140
608,94046,499140
609,94113,499140
610,94188,499140
611,94256,499140
612,94319,499140
613,94386,499140
614,94447,499140
615,94505,499140
616,94569,499140
617,94638,499140
618,94694,499140
619,94758,499140
620,94831,499140
621,94900,499140
622,94957,499140
623,95016,499140
624,95080,499140
625,95145,499140
626,95203,499140
627,95268,499140
628,95330,499140
629,95391,499140
630,95466,499140
631,95539,499140
632,95605,499140
633,95669,499140
634,95729,499140
635,95788,499140
636,95851,499140
637,95914,499140
638,95974,499140
639,96034,499140
640,96095,499140
641,96152,499140
642,96203,499140
643,96259,499140
644,96306,499140
645,96353,499140
646,96414,499140
647,96459,499140
648,96506,499140
649,96562,499140
650,96611,499140
651,96663,499140
652,96730,499140
653,96780,499140
654,96830,499140
655,96891,499140
656,96937,499140
657,96985,499140
658,97040,499140
659,97089,499140
660,97138,499140
661,97183,499140
662,97239,499140
663,97291,499140
664,97338,499140
665,97389,499140
666,97447,499140
667,97520,499140
668,97566,499140
669,97611,499140
670,97662,499140
671,97710,499140
672,97764,499140
673,97820,499140
674,97869,499140
675,97919,499140
676,97980,499140
677,98040,499140
678,98089,499140
679,98149,499140
680,98197,499140
681,98247,499140
682,98308,499140
683,98356,499140
684,98404,499140
685,98456,499140
686,98503,499140
687,98557,499140
688,98606,499140
689,98678,499140
690,98727,499140
691,98775,499140
692,98822,499140
693,98874,499140
694,98931,499140
695,98977,499140
696,99025,499140
697,99071,499140
698,99121,499140
699,99204,499140
700,99260,499140
701,99319,499140
702,99371,499140
703,99419,499140
704,99467,499437
705,99516,499437
706,99575,499437
707,99630,499437
708,99686,499437
709,99733,499437
710,99798,499437
711,99849,499437
712,99912,499437
713,99966,499437
714,100011,499437
715,100059,499437
716,100105,499437
717,100160,499437
718,100218,499437
719,100265,499437
720,100314,499437
721,100359,499437
722,100418,499437
723,100470,499437
724,100524,499437
725,100575,499437
726,100630,499437
727,100688,499437
728,100735,499437
729,100787,499437
730,100834,499437
731,100882,499437
732,100937,499437
733,100984,499437
734,101036,499437
735,101083,499437
736,101133,499437
737,101204,499437
738,101253,499437
739,101303,499437
740,101349,499437
741,101397,499437
742,101451,499437
743,101497,499437
744,101542,499437
745,101589,499437
746,101637,499437
747,101712,499437
748,101763,499437
749,101808,499437
750,101857,499437
751,101903,499437
752,101964,499437
753,102015,499437
754,102068,499437
755,102114,499437
756,102164,499437
757,102226,499437
758,102283,499437
759,102336,499437
760,102388,499437
761,102449,499437
762,102502,499437
763,102549,499437
764,102600,499437
765,102651,499437
766,102697,499437
767,102748,499437
768,102803,499437
769,102850,499437
770,102921,499437
771,102977,499437
772,103026,499437
773,103072,499437
774,103121,499437
775,103174,499437
776,103227,499437
777,103276,499437
778,103328,499437
779,103379,499437
780,103426,499437
781,103478,499437
782,103545,499437
783,103606,499437
784,103660,499437
785,103720,499437
786,103769,499437
787,103817,499437
788,103878,499437
789,103925,499437
790,103973,499437
791,104037,499437
792,104084,499437
793,104141,499437
794,104197,499437
795,104256,499437
796,104304,499437
797,104348,499437
798,104404,499437
799,104456,499437
800,104504,499437
801,104551,499437
802,104604,499437
803,104656,499437
804,104703,499437
805,104760,499437
806,104821,499437
807,104871,499437
808,104926,499437
809,104984,499437
810,105035,499437
811,105080,499437
812,105138,499437
813,105186,499437
814,105234,499437
815,105291,499437
816,105344,499437
817,105411,499437
818,105477,499437
819,105533,499437
820,105585,499437
821,105635,499437
822,105690,499437
823,105737,499437
824,105789,499437
825,105844,499437
826,105896,499437
827,105943,499437
828,106000,499437
829,106057,499437
830,106115,499437
831,106179,499437
832,106228,499437
833,106285,499437
834,106337,499437
835,106386,499437
836,106435,499437
837,106488,499437
838,106539,499437
839,106585,499437
840,106645,499437
841,106697,499437
842,106752,499437
843,106805,499437
844,106862,499437
845,106908,499437
846,106954,499437
847,107004,499437
848,107059,499437
849,107111,499437
850,107159,499437
851,107207,499437
852,107258,499437
853,107328,499437
854,107384,499437
855,107432,499437
856,107492,499437
857,107544,499437
858,107594,499437
859,107640,499437
860,107688,499437
861,107745,499437
862,107795,499437
863,107840,499437
864,107911,499437
865,107966,499437
866,108019,499437
867,108069,499437
868,108120,499437
869,108176,499437
870,108239,499437
871,108286,499437
872,108338,499437
873,108387,499437
874,108447,499437
875,108498,499437
876,108549,499437
877,108614,499437
878,108665,499437
879,108718,499437
880,108777,499437
881,108828,499437
882,108875,499437
883,108930,499437
884,108976,499437
885,109026,499437
886,109084,499437
887,109132,499437
888,109182,499437
889,109251,499437
890,109304,499437
891,109357,499437
892,109417,499437
893,109464,499437
894,109512,499437
895,109570,499437
896,109617,499437
897,109666,499437
898,109727,499437
899,109778,499437
900,109834,499437
901,109904,499437
902,109962,499437
903,110009,499437
904,110070,499437
905,110116,499437
906,110166,499437
907,110223,499437
908,110272,499437
909,110319,499437
910,110363,499437
911,110423,499437
912,110487,499437
913,110536,499437
914,110586,499437
915,110638,499437
916,110700,499437
917,110746,499437
918,110796,499437
919,110845,499437
920,110890,499437
921,110948,499437
922,111003,499437
923,111056,499437
924,111131,499437
925,111190,499437
926,111248,499437
927,111296,499437
928,111345,499437
929,111404,499437
930,111455,499437
931,111502,499437
932,111554,499437
933,111602,499437
934,111658,499437
935,111712,499437
936,111767,499437
937,111833,499437
938,111885,499437
939,111933,499437
940,111995,499437
941,112042,499437
942,112087,499437
943,112151,499437
944,112198,499437
945,112249,499437
946,112327,499437
947,112376,499437
948,112424,499437
949,112487,499437
950,112541,499437
951,112591,499437
952,112653,499437
953,112702,499437
954,112753,499437
955,112806,499437
956,112850,499437
957,112899,499437
