Generation number, Milliseconds from start, Fitness
0,0,434872
1,13,434872
2,37,434872
3,58,434872
4,76,434872
5,120,435591
6,141,435591
7,162,435591
8,183,435591
9,207,435591
10,224,435591
11,239,435591
12,257,435591
13,272,435591
14,287,435591
15,304,435591
16,319,435591
17,332,435591
18,347,435591
19,363,435591
20,378,435591
21,393,435591
22,409,435591
23,423,435591
24,438,435591
25,451,435591
26,467,435591
27,487,435591
28,502,435591
29,519,435591
30,536,435591
31,551,438628
32,571,438628
33,593,438628
34,607,438628
35,629,438628
36,645,438628
37,659,438628
38,675,438628
39,689,443183
40,707,443183
41,722,453135
42,738,453135
43,760,453135
44,778,453135
45,794,453135
46,808,453135
47,831,453135
48,845,453135
49,859,453135
50,873,453135
51,887,453135
52,901,453135
53,916,453135
54,931,453135
55,945,453135
56,960,453135
57,974,453135
58,991,453135
59,1004,453135
60,1020,454643
61,1048,454643
62,1069,454643
63,1085,454643
64,1102,454643
65,1120,454643
66,1136,454643
67,1156,454643
68,1171,454643
69,1186,454643
70,1202,454643
71,1218,454643
72,1233,454643
73,1249,454643
74,1264,454643
75,1277,466773
76,1295,466773
77,1310,466773
78,1325,466773
79,1344,466773
80,1358,466773
81,1374,466773
82,1389,466773
83,1406,466773
84,1422,466773
85,1438,466773
86,1454,466773
87,1467,466773
88,1483,466773
89,1498,466773
90,1512,466773
91,1527,466773
92,1540,466773
93,1557,466773
94,1574,466773
95,1589,466773
96,1615,466773
97,1630,466821
98,1646,466821
99,1662,466821
100,1679,466821
101,1694,466821
102,1710,466821
103,1724,466821
104,1739,466821
105,1756,466821
106,1771,466821
107,1785,466821
108,1799,466821
109,1813,466821
110,1828,466821
111,1842,466821
112,1857,466821
113,1872,466821
114,1886,466821
115,1901,466821
116,1917,466821
117,1931,466821
118,1951,466821
119,1965,466821
120,1980,466821
121,1998,466821
122,2012,466821
123,2029,466821
124,2042,466821
125,2058,466821
126,2073,466821
127,2091,466821
128,2116,466821
129,2133,466821
130,2149,466821
131,2164,468106
132,2180,468106
133,2200,468106
134,2221,468106
135,2238,468106
136,2252,468106
137,2274,468106
138,2302,468106
139,2323,468106
140,2347,468106
141,2362,468106
142,2379,468106
143,2393,468106
144,2413,468106
145,2429,468106
146,2444,468106
147,2461,468106
148,2476,468106
149,2489,468106
150,2508,468106
151,2525,468106
152,2540,468106
153,2554,468106
154,2574,468106
155,2595,468106
156,2609,468106
157,2629,468106
158,2650,468106
159,2670,468106
160,2691,468106
161,2705,468106
162,2721,468106
163,2737,468106
164,2752,468106
165,2766,468106
166,2782,468106
167,2799,468106
168,2812,470414
169,2828,470414
170,2848,470414
171,2863,470414
172,2878,470414
173,2894,470414
174,2908,476576
175,2929,476576
176,2946,476576
177,2964,476576
178,2982,476576
179,2999,476576
180,3019,476576
181,3034,476576
182,3048,476576
183,3064,476576
184,3083,476576
185,3099,476576
186,3112,476576
187,3128,476576
188,3143,476576
189,3161,476576
190,3178,476576
191,3195,476576
192,3212,476576
193,3230,476576
194,3246,476576
195,3261,476576
196,3276,476576
197,3293,476576
198,3307,476576
199,3321,476576
200,3336,476576
201,3350,476576
202,3364,476576
203,3379,476576
204,3396,476576
205,3411,476576
206,3427,476576
207,3441,476576
208,3456,476576
209,3469,476576
210,3484,476576
211,3499,476576
212,3513,476576
213,3528,476576
214,3549,476576
215,3562,476576
216,3578,476576
217,3593,476576
218,3606,476576
219,3622,476576
220,3637,476576
221,3652,476576
222,3669,479858
223,3685,479858
224,3702,479858
225,3719,479858
226,3736,479858
227,3758,479858
228,3773,479858
229,3789,479858
230,3804,479858
231,3818,479858
232,3833,479858
233,3847,479858
234,3862,479858
235,3878,479858
236,3892,479858
237,3906,479858
238,3920,479858
239,3935,479858
240,3954,479858
241,3967,483428
242,3992,483428
243,4005,483428
244,4020,483428
245,4036,483428
246,4052,483428
247,4066,483428
248,4082,483428
249,4097,483428
250,4113,483428
251,4129,483428
252,4144,483428
253,4163,483428
254,4178,483428
255,4194,483428
256,4216,483428
257,4234,483428
258,4252,483428
259,4270,483428
260,4288,483428
261,4315,483428
262,4330,483428
263,4346,483428
264,4372,483428
265,4388,483428
266,4407,483428
267,4425,483428
268,4441,483428
269,4462,483428
270,4476,483428
271,4494,483428
272,4510,483428
273,4525,483428
274,4540,483428
275,4555,483428
276,4571,483428
277,4588,483428
278,4603,483428
279,4618,483428
280,4632,483428
281,4649,483428
282,4664,483428
283,4681,483428
284,4696,483428
285,4712,483428
286,4726,483428
287,4742,483428
288,4758,483428
289,4778,483428
290,4798,483428
291,4818,483428
292,4838,483428
293,4854,483428
294,4871,483428
295,4887,483428
296,4905,483428
297,4935,483428
298,4962,483428
299,4981,483428
300,4995,483428
301,5012,483428
302,5028,483428
303,5043,483428
304,5060,483428
305,5076,483428
306,5092,483428
307,5115,483428
308,5133,483428
309,5148,483428
310,5168,483428
311,5187,483428
312,5205,483428
313,5223,483428
314,5239,483428
315,5256,483428
316,5275,483428
317,5292,483428
318,5307,483428
319,5325,483428
320,5345,483428
321,5367,483428
322,5386,483428
323,5402,483428
324,5420,483428
325,5441,483428
326,5465,483428
327,5479,483428
328,5496,483428
329,5518,483428
330,5533,483428
331,5550,483428
332,5565,483428
333,5582,483428
334,5603,483428
335,5620,483428
336,5636,483428
337,5651,483428
338,5666,483428
339,5681,483428
340,5696,483428
341,5710,483428
342,5727,483428
343,5742,483428
344,5760,483428
345,5778,483428
346,5792,483428
347,5808,483428
348,5825,483428
349,5841,483442
350,5870,483442
351,5890,483442
352,5914,483442
353,5933,483442
354,5949,483442
355,5966,483442
356,5981,483442
357,5997,483442
358,6012,483442
359,6027,483442
360,6042,483442
361,6060,483442
362,6074,483442
363,6090,483442
364,6105,483442
365,6120,483442
366,6137,483442
367,6156,483442
368,6173,483442
369,6188,483442
370,6202,483442
371,6217,483442
372,6232,483442
373,6247,483442
374,6262,483442
375,6276,483442
376,6292,483442
377,6306,483442
378,6322,483442
379,6336,483442
380,6355,483442
381,6370,483442
382,6389,483442
383,6406,483442
384,6427,483442
385,6451,483442
386,6471,483442
387,6489,483442
388,6506,483442
389,6521,483442
390,6537,483442
391,6562,484415
392,6578,484415
393,6597,484415
394,6618,484415
395,6636,484415
396,6652,484415
397,6669,484415
398,6685,484415
399,6701,484415
400,6723,484415
401,6738,484415
402,6754,484415
403,6767,484415
404,6784,484415
405,6800,484415
406,6815,484415
407,6835,484415
408,6852,484415
409,6866,484415
410,6882,484415
411,6899,484415
412,6915,484415
413,6939,484415
414,6964,484415
415,6981,484415
416,7002,484415
417,7019,484415
418,7034,484415
419,7049,484415
420,7065,484415
421,7081,484415
422,7095,486218
423,7110,486218
424,7128,486218
425,7144,486218
426,7160,488650
427,7174,488650
428,7193,488650
429,7208,488650
430,7225,488650
431,7247,488650
432,7276,488650
433,7299,488650
434,7322,488650
435,7342,488650
436,7357,488650
437,7372,488650
438,7387,488650
439,7404,488650
440,7423,488650
441,7448,488650
442,7472,488650
443,7493,488650
444,7516,488650
445,7532,488650
446,7547,488650
447,7562,488650
448,7578,488650
449,7593,488650
450,7610,488650
451,7627,488650
452,7643,488650
453,7658,488650
454,7676,488650
455,7691,488650
456,7706,488650
457,7724,488650
458,7738,488650
459,7754,488650
460,7772,488650
461,7786,488650
462,7808,488650
463,7823,488650
464,7840,488650
465,7856,488650
466,7871,488650
467,7890,488650
468,7905,488650
469,7920,488650
470,7945,488650
471,7961,491204
472,7980,491204
473,8001,491204
474,8020,491204
475,8038,491204
476,8056,491204
477,8072,491204
478,8090,491204
479,8106,491204
480,8119,491204
481,8137,491204
482,8152,491204
483,8167,491808
484,8184,491808
485,8200,491808
486,8218,491808
487,8234,491808
488,8250,491808
489,8266,491808
490,8282,491808
491,8295,491808
492,8316,491808
493,8331,491808
494,8347,491808
495,8364,491808
496,8378,491808
497,8395,491808
498,8409,491808
499,8424,491808
500,8440,491808
501,8460,491808
502,8475,491808
503,8490,491808
504,8505,491808
505,8523,491808
506,8538,491808
507,8556,491808
508,8573,491808
509,8590,491808
510,8608,493285
511,8629,493285
512,8645,493285
513,8662,493285
514,8678,493285
515,8693,493285
516,8710,493285
517,8724,493285
518,8744,493285
519,8759,493285
520,8774,493744
521,8793,493744
522,8810,493744
523,8829,493744
524,8843,493744
525,8859,493744
526,8875,493744
527,8891,493744
528,8906,493744
529,8923,493744
530,8938,493744
531,8954,493744
532,8970,493744
533,8987,493744
534,9001,493744
535,9018,493744
536,9033,493744
537,9047,494266
538,9063,494266
539,9086,494266
540,9109,494266
541,9127,494266
542,9143,494266
543,9162,494266
544,9176,497406
545,9192,497406
546,9208,497406
547,9232,497406
548,9255,497406
549,9271,497406
550,9287,497406
551,9303,497406
552,9320,497406
553,9335,497406
554,9352,497406
