Generation number, Milliseconds from start, Fitness
0,128413,38278
1,128431,38278
2,128586,46292
3,129266,54242
4,129660,61680
5,130072,61680
6,130547,69150
7,131035,69263
8,131543,90889
9,132255,101169
10,132750,105991
11,133349,105991
12,133989,142969
13,134602,142969
14,135265,142969
15,135992,142969
16,136735,161214
17,137657,161214
18,138537,174106
19,139415,174106
20,140302,174106
21,141372,177092
22,142381,177092
23,143484,177104
24,144645,177104
25,145999,190073
26,147246,190073
27,148618,190073
28,150058,190073
29,151501,190073
30,152984,190073
31,154672,190598
32,156227,190598
33,157986,190687
34,159664,190687
35,161393,190687
36,163203,190687
37,165131,197944
38,167137,201532
39,168911,201532
40,170938,201532
41,173080,201532
42,175027,206413
43,177011,206413
44,179003,206413
45,181136,206413
46,183330,208065
47,185436,208065
48,187741,208065
49,189859,211793
