Generation number, Milliseconds from start, Fitness
0,0,435389
1,90,435389
2,158,435389
3,221,435389
4,276,435389
5,325,435389
6,376,435389
7,427,436774
8,478,436774
9,539,436774
10,594,436774
11,656,436774
12,706,436774
13,753,436774
14,808,436774
15,866,442043
16,919,445178
17,982,445178
18,1045,447908
19,1110,448160
20,1170,448160
21,1219,448160
22,1274,448160
23,1318,448160
24,1367,449655
25,1416,449655
26,1467,449655
27,1513,451908
28,1564,451908
29,1615,451908
30,1666,458278
31,1716,458278
32,1762,458278
33,1808,458278
34,1866,458278
35,1913,468786
36,1964,468786
37,2015,468786
38,2074,468786
39,2140,468786
40,2191,468786
41,2240,468786
42,2299,468786
43,2344,468786
44,2392,468786
45,2443,468786
46,2491,468786
47,2541,468786
48,2588,468786
49,2646,468786
50,2705,468786
51,2760,468786
52,2807,468786
53,2854,468786
54,2907,468786
55,2957,474341
56,3017,474341
57,3085,474341
58,3138,474341
59,3192,474341
60,3241,474341
61,3287,474341
62,3343,474341
63,3391,474341
64,3440,474341
65,3487,474341
66,3542,474341
67,3604,474341
68,3651,474341
69,3701,474341
70,3750,474341
71,3799,474436
72,3857,474436
73,3917,474436
74,3967,474436
75,4011,474436
76,4060,474436
77,4115,474436
78,4169,474436
79,4216,474436
80,4269,474436
81,4327,474436
82,4376,474436
83,4428,474436
84,4478,474436
85,4527,474436
86,4577,474436
87,4628,474436
88,4679,474436
89,4724,478898
90,4785,478898
91,4838,478898
92,4893,478898
93,4943,478898
94,4999,478898
95,5049,478898
96,5105,478898
97,5166,478898
98,5216,478898
99,5265,478898
100,5334,478898
101,5385,478898
102,5433,478898
103,5489,478898
104,5539,478898
105,5594,478898
106,5643,478898
107,5691,478898
108,5741,478898
109,5790,478898
110,5853,478898
111,5906,478898
112,5956,478898
113,6012,478898
114,6058,478898
115,6106,478898
116,6167,478898
117,6226,478898
118,6289,478898
119,6341,478898
120,6410,478898
121,6465,478898
122,6517,478898
123,6566,478898
124,6614,478898
125,6667,478898
126,6715,478898
127,6765,478898
128,6828,478898
129,6887,478898
130,6949,478898
131,7001,478898
132,7056,478898
133,7101,478898
134,7154,478898
135,7202,480047
136,7257,480047
137,7327,484331
138,7385,484331
139,7432,484331
140,7493,484331
141,7548,484331
142,7595,484331
143,7649,484331
144,7698,484331
145,7750,484331
146,7799,484331
147,7848,484331
148,7897,484331
149,7961,484331
150,8019,484331
151,8076,484331
152,8128,484331
153,8178,484331
154,8225,484331
155,8273,484331
156,8324,484331
157,8369,484331
158,8418,484331
159,8465,484331
160,8512,484331
161,8576,484331
162,8628,487862
163,8679,487862
164,8728,487862
165,8783,487862
166,8836,487862
167,8892,487862
168,8950,487862
169,9003,487862
170,9051,487862
171,9106,487862
172,9164,487862
173,9210,487862
174,9264,487862
175,9307,487862
176,9353,487862
177,9413,487862
178,9473,487862
179,9522,487862
180,9569,487862
181,9618,487862
182,9684,487862
183,9735,487862
184,9786,487862
185,9835,487862
186,9891,487862
187,9944,487862
188,9995,487862
189,10049,487862
190,10097,487862
191,10160,487862
192,10209,487959
193,10263,487959
194,10313,487959
195,10366,489202
196,10412,489202
197,10460,489202
198,10510,489202
199,10569,489202
200,10631,489202
201,10687,489202
202,10738,489202
203,10783,489202
204,10831,489202
205,10888,489202
206,10940,489985
207,10989,489985
208,11041,489985
209,11095,489985
210,11152,489985
211,11207,492882
212,11263,492882
213,11319,492882
214,11367,492882
215,11425,492882
216,11482,492882
217,11540,492882
218,11604,492882
219,11668,492882
220,11737,492882
221,11797,492882
222,11846,492882
223,11896,492882
224,11944,492882
225,11995,492882
226,12046,492882
227,12097,492882
228,12150,492882
229,12200,492882
230,12261,492882
231,12312,492882
232,12368,492882
233,12438,492882
234,12496,492882
235,12546,492882
236,12596,492882
237,12650,492882
238,12709,492882
239,12784,492882
240,12840,492882
241,12901,492882
242,12949,492882
243,13019,492882
244,13079,492882
245,13137,492882
246,13199,492882
247,13251,492882
248,13308,492882
249,13379,492882
250,13447,492882
251,13521,492882
252,13582,492882
253,13637,492882
254,13693,492882
255,13751,492882
256,13798,492882
257,13851,492882
258,13920,492882
259,13966,492882
260,14013,492882
261,14071,492882
262,14129,492882
263,14178,492882
264,14228,492882
265,14277,492882
266,14324,492882
267,14376,492977
268,14448,492977
269,14506,492977
270,14553,492977
271,14642,492977
272,14800,492977
273,14853,492977
274,14981,492977
275,15038,492977
276,15087,492977
277,15142,492977
278,15192,492977
279,15245,492977
280,15295,492977
281,15352,492977
282,15399,492977
283,15445,492977
284,15495,492977
285,15552,492977
286,15603,492977
287,15657,492977
288,15704,492977
289,15752,492977
290,15807,492977
291,15861,492977
292,15913,492977
293,15982,493293
294,16036,494132
295,16098,494132
296,16158,494132
297,16208,494132
298,16282,494132
299,16333,494132
300,16400,494132
301,16446,494132
302,16523,494132
303,16580,494132
304,16632,494132
305,16695,494132
306,16750,494132
307,16824,494132
308,16877,494132
309,16942,494132
310,17004,494132
311,17060,494132
312,17113,494132
313,17174,494132
314,17230,494132
315,17286,494132
316,17334,494132
317,17381,494132
318,17441,494132
319,17502,494132
320,17550,494132
321,17599,494132
322,17664,494132
323,17717,494132
324,17774,494132
325,17823,494132
326,17877,494132
327,17926,494132
328,17982,494132
329,18032,494132
330,18093,494132
331,18155,494132
332,18208,494132
333,18269,494132
334,18317,494132
335,18377,494132
336,18423,494132
337,18477,494132
338,18524,494132
339,18584,494132
340,18647,494132
341,18699,494132
342,18746,494132
343,18797,494132
344,18854,494132
345,18914,494132
346,18966,494132
347,19026,494132
348,19073,495442
349,19125,495442
350,19177,495442
351,19233,495442
352,19289,495442
353,19342,495442
354,19390,495442
355,19435,495442
356,19489,495442
357,19542,495442
358,19599,495442
359,19648,495442
360,19695,495442
361,19770,495442
362,19839,495442
363,19892,495442
