Generation number, Milliseconds from start, Fitness
0,0,437309
1,17,437309
2,38,437309
3,61,437309
4,85,437309
5,102,437309
6,116,437309
7,132,437309
8,146,437309
9,174,437309
10,190,437309
11,207,437309
12,224,444456
13,244,444456
14,260,444456
15,275,444456
16,292,444456
17,312,444456
18,329,444456
19,343,444456
20,360,444456
21,383,444456
22,397,444456
23,412,444456
24,427,444456
25,442,444456
26,458,444456
27,473,444456
28,489,444456
29,503,444456
30,520,444456
31,540,444456
32,555,444456
33,577,444456
34,591,445644
35,611,445644
36,627,445644
37,649,445644
38,664,445644
39,681,445644
40,694,445644
41,709,445644
42,726,445644
43,739,445644
44,754,445644
45,769,445644
46,785,445644
47,800,445644
48,815,445644
49,829,445644
50,844,445644
51,858,445644
52,874,445644
53,889,445644
54,902,448658
55,919,455413
56,933,455413
57,954,455413
58,970,455413
59,984,455413
60,998,455413
61,1026,455413
62,1043,455413
63,1067,455413
64,1084,455413
65,1100,455413
66,1116,455413
67,1131,455413
68,1151,455413
69,1167,455413
70,1181,455413
71,1196,455413
72,1211,455413
73,1226,455413
74,1241,455413
75,1257,455413
76,1274,464796
77,1289,464796
78,1303,464796
79,1323,464796
80,1341,464796
81,1354,464796
82,1370,464796
83,1385,464796
84,1401,464796
85,1416,464796
86,1433,464796
87,1448,464796
88,1462,464796
89,1481,464796
90,1504,464796
91,1519,464796
92,1532,464796
93,1553,464796
94,1575,464796
95,1601,464796
96,1618,464796
97,1635,464796
98,1649,464796
99,1665,471145
100,1683,471145
101,1699,471145
102,1717,471145
103,1733,471145
104,1755,471145
105,1771,471145
106,1784,471145
107,1798,471145
108,1814,471145
109,1829,471145
110,1845,471145
111,1859,471145
112,1873,471145
113,1888,471145
114,1904,471145
115,1918,471145
116,1933,471145
117,1949,471145
118,1962,471145
119,1977,471145
120,1991,471145
121,2006,471145
122,2025,471145
123,2043,471145
124,2057,471145
125,2072,471145
126,2092,471145
127,2111,471145
128,2127,471145
129,2143,471145
130,2165,471145
131,2182,471145
132,2203,471145
133,2218,471145
134,2239,471145
135,2258,473288
136,2279,473288
137,2295,473288
138,2310,473288
139,2325,473288
140,2339,473288
141,2354,473288
142,2372,473288
143,2388,473288
144,2411,473288
145,2431,473288
146,2451,473288
147,2468,473288
148,2483,475043
149,2502,475043
150,2517,475043
151,2531,475043
152,2552,475043
153,2566,475043
154,2583,475043
155,2600,475043
156,2616,475043
157,2634,475043
158,2660,475043
159,2675,475043
160,2692,475043
161,2708,475043
162,2723,475043
163,2737,475043
164,2752,475043
165,2767,475043
166,2783,475043
167,2798,475043
168,2815,475043
169,2836,475043
170,2851,475043
171,2866,475043
172,2882,475043
173,2897,475043
174,2912,475043
175,2928,475043
176,2943,475043
177,2959,475043
178,2972,475043
179,2990,475043
180,3005,475043
181,3021,475043
182,3035,475043
183,3050,475043
184,3072,475043
185,3086,475043
186,3101,475043
187,3117,475043
188,3134,475043
189,3149,475043
190,3173,475043
191,3192,477151
192,3213,477151
193,3233,477151
194,3250,477151
195,3265,477151
196,3282,477151
197,3300,477151
198,3315,477151
199,3332,477151
200,3349,477151
201,3363,477151
202,3378,477151
203,3394,477151
204,3409,477151
205,3424,477151
206,3444,477151
207,3460,477151
208,3475,477151
209,3491,477151
210,3506,477151
211,3520,479858
212,3534,479858
213,3556,479858
214,3572,479858
215,3587,479858
216,3602,479858
217,3618,479858
218,3634,479858
219,3650,486499
220,3669,486499
221,3688,486499
222,3705,486499
223,3722,486499
224,3739,486499
225,3757,486499
226,3774,486499
227,3788,486499
228,3803,486499
229,3817,486499
230,3833,486499
231,3855,486499
232,3869,486499
233,3887,486499
234,3907,486499
235,3920,486499
236,3935,486499
237,3951,486499
238,3967,486499
239,3982,486499
240,3997,486499
241,4011,486499
242,4027,486499
243,4040,486499
244,4055,486499
245,4070,486499
246,4086,486499
247,4102,486499
248,4115,486499
249,4130,486499
250,4145,486499
251,4161,486499
252,4178,486499
253,4197,486499
254,4214,486499
255,4240,486499
256,4265,486499
257,4282,486499
258,4300,486499
259,4314,486499
260,4329,486499
261,4345,486499
262,4359,486499
263,4378,486499
264,4394,486499
265,4411,486499
266,4436,486499
267,4452,486499
268,4466,486499
269,4483,486499
270,4499,486499
271,4517,486499
272,4529,486499
273,4545,486499
274,4562,486499
275,4578,486499
276,4604,486499
277,4629,486499
278,4647,486499
279,4665,486499
280,4681,486499
281,4696,486499
282,4717,486499
283,4737,486499
284,4756,486499
285,4774,486499
286,4790,486499
287,4806,486499
288,4821,486499
289,4839,486499
290,4854,486499
291,4870,486499
292,4891,486499
293,4905,486499
294,4921,486499
295,4936,486499
296,4958,486499
297,4979,486499
298,4993,486499
299,5009,486499
300,5023,486499
301,5039,486499
302,5054,486499
303,5070,486499
304,5086,486499
305,5102,486499
306,5117,486499
307,5134,486499
308,5150,486499
309,5166,486499
310,5182,486499
311,5198,486499
312,5212,486842
313,5228,486842
314,5249,486842
315,5267,486842
316,5293,486842
317,5308,486842
318,5324,486842
319,5342,486842
320,5363,486842
321,5377,486842
322,5392,486842
323,5406,486842
324,5430,486842
325,5443,486842
326,5460,486842
327,5478,486842
328,5492,486842
329,5508,486842
330,5523,486842
331,5540,486842
332,5554,486842
333,5569,486842
334,5583,486842
335,5599,486842
336,5619,486842
337,5635,486842
338,5651,486842
339,5667,486842
340,5683,486842
341,5699,486842
342,5714,486842
343,5730,486842
344,5744,486842
345,5760,486842
346,5779,486842
347,5797,486842
348,5813,486842
349,5835,486842
350,5850,486842
351,5865,486842
352,5880,486842
353,5898,486842
354,5916,486842
355,5940,486842
356,5955,486842
357,5971,486842
358,5992,486842
359,6009,486842
360,6023,486842
361,6038,486842
362,6054,486842
363,6069,486842
364,6084,486842
365,6098,486842
366,6114,486842
367,6132,486842
368,6147,486842
369,6165,486842
370,6181,486842
371,6196,486842
372,6213,486842
373,6227,486842
374,6242,486842
375,6260,486842
376,6276,486842
377,6295,486842
378,6321,491550
379,6347,491550
380,6367,491550
381,6393,491550
382,6409,491550
383,6424,491550
384,6441,491550
385,6461,491550
386,6478,491550
387,6493,491550
388,6509,491550
389,6527,491550
390,6543,491550
391,6558,491550
392,6584,491550
393,6604,491550
394,6621,491550
395,6639,491550
396,6656,491550
397,6678,491550
398,6695,491550
399,6711,491550
400,6726,491550
401,6742,491550
402,6757,491723
403,6778,491723
404,6795,491723
405,6810,491723
406,6828,491723
407,6848,491723
408,6863,491723
409,6888,491723
410,6907,491723
411,6923,491723
412,6939,491723
413,6956,491723
414,6971,491723
415,6987,491723
416,7007,491723
417,7023,491723
418,7036,491723
419,7054,491723
420,7068,491723
421,7084,491723
422,7100,491723
423,7116,491723
424,7131,491723
425,7146,491723
426,7165,491723
427,7182,491723
428,7195,491723
429,7210,491723
430,7234,491723
431,7250,491723
432,7268,491723
433,7282,491723
434,7299,491723
435,7316,491723
436,7332,491723
437,7347,491723
438,7374,491723
439,7391,491723
440,7420,491723
441,7447,491723
442,7473,491723
443,7493,491723
444,7508,491723
445,7523,491723
446,7542,491723
447,7557,491723
448,7573,491723
449,7595,491723
450,7609,491723
451,7625,491723
452,7642,491723
453,7657,491723
454,7671,491723
455,7688,491723
456,7702,491723
457,7716,491723
458,7732,491723
459,7746,491723
460,7761,491723
461,7778,491723
462,7792,491723
463,7809,491723
464,7825,491723
465,7841,491723
466,7861,491723
467,7877,491723
468,7899,491723
469,7915,491723
470,7931,491723
471,7948,491723
472,7965,491723
473,7981,491723
474,7998,491723
475,8013,491723
476,8029,491723
477,8042,491723
478,8059,491723
479,8075,491723
480,8090,491723
481,8106,491723
482,8120,491723
483,8138,491723
484,8153,491723
485,8173,493234
486,8191,493234
487,8207,493234
488,8225,493234
489,8245,493234
490,8261,493234
491,8285,493234
492,8301,493234
493,8320,493234
494,8336,493234
495,8352,493234
496,8365,493234
497,8380,493234
498,8393,493234
499,8411,493234
500,8425,493234
501,8443,493234
502,8463,493234
503,8481,493234
504,8499,493234
505,8520,493234
506,8537,493234
507,8554,493234
508,8569,493234
509,8585,493234
510,8599,493234
511,8625,493234
512,8640,493234
513,8658,493234
514,8673,493234
515,8688,493234
516,8703,493234
517,8719,493234
518,8734,493234
519,8751,493234
520,8767,493234
521,8784,493234
522,8803,493234
523,8819,493234
524,8834,493234
525,8848,493234
526,8864,493234
527,8878,493234
528,8896,493234
529,8911,493234
530,8926,493234
531,8942,493234
532,8965,493234
533,8986,493234
534,9005,493234
535,9027,493234
536,9045,493234
537,9060,493234
538,9078,493234
539,9093,493234
540,9113,493234
541,9127,493234
542,9141,493234
543,9161,493234
544,9175,493234
545,9190,493234
546,9208,493234
547,9224,493234
548,9240,493234
549,9263,493234
550,9279,493234
551,9293,493234
552,9314,493234
553,9331,493234
554,9345,493234
555,9360,493234
556,9376,493234
557,9399,493234
558,9414,493234
559,9428,493234
560,9443,493234
561,9459,493234
562,9475,493234
563,9493,493234
564,9508,493234
565,9536,493234
566,9569,493234
567,9593,493234
568,9612,493234
569,9628,493234
570,9645,493234
571,9661,493234
572,9677,493234
573,9692,493234
574,9711,494351
575,9729,494351
576,9743,494351
577,9760,494351
578,9776,494351
579,9791,494351
580,9812,494351
581,9826,494351
582,9842,494351
583,9856,494351
584,9872,494351
585,9889,494351
586,9904,494351
587,9919,494351
588,9934,494351
589,9951,494351
590,9965,494351
591,9982,494351
592,9996,494351
593,10011,494351
594,10025,494351
595,10041,494351
596,10058,494351
597,10073,494351
598,10090,494351
599,10107,494351
600,10123,494351
601,10147,494351
602,10164,494351
603,10180,494351
604,10197,494351
605,10214,494351
606,10233,494351
607,10256,494351
608,10275,494351
609,10291,494351
610,10312,494351
611,10333,494351
612,10347,494351
613,10365,494351
614,10381,494351
615,10394,494351
616,10408,494351
617,10426,494351
618,10441,494351
619,10454,494351
620,10470,494351
621,10487,494351
622,10501,494351
623,10516,494351
624,10534,494351
625,10547,494351
626,10562,494351
627,10578,494351
628,10594,494351
629,10608,494351
630,10625,494351
631,10641,494351
632,10659,494351
633,10676,494351
634,10690,494351
635,10706,494351
636,10728,494351
637,10742,494351
638,10757,494351
639,10774,494351
640,10790,494351
641,10804,494351
642,10819,494351
643,10835,494351
644,10850,494351
645,10864,494351
646,10880,494351
647,10894,494351
648,10910,494351
649,10927,494351
650,10940,494351
651,10962,494351
652,10975,494351
653,10992,494351
654,11009,495317
655,11022,495317
656,11041,495317
657,11059,495964
658,11074,495964
659,11089,495964
660,11105,495964
661,11119,495964
662,11144,495964
663,11166,495964
664,11183,495964
665,11203,495964
666,11222,495964
667,11241,495964
668,11255,495964
669,11272,495964
670,11291,495964
671,11306,495964
672,11322,495964
673,11338,495964
674,11354,495964
675,11369,495964
676,11385,495964
677,11399,495964
678,11419,495964
679,11435,495964
680,11448,495964
681,11465,495964
682,11481,496233
683,11501,496233
684,11521,496233
685,11548,496233
686,11563,496233
687,11587,496233
688,11605,496233
689,11620,496233
690,11640,496233
691,11672,496233
692,11702,496233
693,11727,496233
694,11755,496233
695,11778,496233
696,11794,496233
697,11812,496233
698,11830,496233
699,11844,496233
700,11860,496233
701,11876,496233
702,11892,496233
703,11909,496233
704,11926,496233
705,11940,496233
706,11956,496233
707,11973,496233
708,11988,496233
709,12003,496233
710,12019,496233
711,12035,497121
712,12056,497121
713,12071,497121
714,12094,497121
715,12110,497121
716,12127,497121
717,12141,497121
718,12158,497121
719,12173,497121
720,12188,497121
721,12213,497121
722,12229,497121
723,12249,497121
724,12271,497196
725,12302,497196
726,12321,497196
727,12337,497196
728,12354,497196
729,12370,497196
730,12386,497196
731,12402,497196
732,12419,497196
733,12440,497196
734,12457,497196
735,12477,497196
736,12497,497196
737,12512,497196
738,12528,497196
739,12543,497196
740,12557,497196
741,12576,497196
742,12592,497196
743,12606,497196
744,12622,497196
745,12637,497196
746,12651,497196
747,12672,497196
748,12688,497196
749,12706,498316
750,12721,498316
751,12743,498316
752,12763,498316
753,12780,498316
754,12796,498316
755,12820,498316
756,12842,498316
757,12858,498316
758,12879,498316
759,12901,498316
760,12918,498316
761,12937,498316
762,12953,498316
763,12972,498316
764,12994,498316
765,13009,498316
766,13027,498316
767,13042,498316
768,13062,498316
769,13079,498316
770,13095,498316
771,13112,498316
772,13127,498316
773,13149,498316
774,13167,498316
775,13183,498316
776,13209,498316
777,13227,498316
778,13247,498316
779,13272,498316
780,13297,498316
781,13313,498316
782,13333,498316
783,13358,498316
784,13379,498316
785,13398,498316
786,13422,498316
787,13444,498316
788,13463,498316
789,13487,498316
790,13505,498316
791,13520,498316
792,13540,498316
793,13558,498316
794,13573,498316
795,13590,498316
796,13607,498316
797,13624,498316
798,13640,498316
799,13656,498316
800,13671,498316
801,13691,498316
802,13716,498316
803,13732,498316
804,13747,498316
805,13770,498316
806,13785,498316
807,13802,498316
808,13817,498316
809,13831,498316
810,13847,498316
811,13862,498316
812,13876,498316
813,13896,498316
814,13917,498316
815,13934,498316
816,13955,498316
817,13971,498316
818,13988,498316
819,14006,498316
820,14020,498316
821,14035,498316
822,14050,498316
823,14066,498316
824,14081,498316
825,14097,498316
826,14113,498316
827,14130,498316
828,14149,498316
829,14173,498316
830,14206,498316
831,14225,498316
832,14241,498316
833,14258,498316
834,14272,498316
835,14288,498316
836,14306,498316
837,14324,498316
838,14337,498316
839,14353,498316
840,14370,498316
841,14386,498316
842,14402,498316
843,14417,498316
844,14432,498316
845,14449,498316
846,14468,498316
847,14485,498316
